["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","TE",1,"port 1",1,"transmission")
(50, 3)
1.8737028625000000e+14 6.0759654536480835e-02 2.6876696567938634e+00
1.8762521180952381e+14 6.5514413739401936e-02 2.9001830318931967e+00
1.8788013736904762e+14 6.5989054446046275e-02 3.1022272235814179e+00
1.8813506292857144e+14 6.3844145507233246e-02 3.2414691098120585e+00
1.8838998848809525e+14 6.3773536200918760e-02 3.3072653309004654e+00
1.8864491404761903e+14 6.9049093429752711e-02 3.3722460287460576e+00
1.8889983960714284e+14 7.6995901422559521e-02 3.5080960957179936e+00
1.8915476516666666e+14 8.2128097661819929e-02 3.7021341535053587e+00
1.8940969072619047e+14 8.1408772769613280e-02 3.8984707705899213e+00
1.8966461628571428e+14 7.6534107363067164e-02 4.0370241520127141e+00
1.8991954184523809e+14 7.3449756918983006e-02 4.0923052948114931e+00
1.9017446740476191e+14 7.6975686686087202e-02 4.1324870365603346e+00
1.9042939296428572e+14 8.4287012161027131e-02 4.2468514428499482e+00
1.9068431852380953e+14 8.8531902271214880e-02 4.4307593863943762e+00
1.9093924408333334e+14 8.5902122922188032e-02 4.6247611193668456e+00
1.9119416964285712e+14 7.8224295901757446e-02 4.7613360022564413e+00
1.9144909520238094e+14 7.2224422729296744e-02 4.8029646710368894e+00
1.9170402076190475e+14 7.3628866508888280e-02 4.8179989426992709e+00
1.9195894632142856e+14 7.9433082548502010e-02 4.9148595046753663e+00
1.9221387188095238e+14 8.2040945698586790e-02 5.0934616785256939e+00
1.9246879744047619e+14 7.7439388699319919e-02 5.2875765796484862e+00
1.9272372300000000e+14 6.7619288354456214e-02 5.4184159784947985e+00
1.9297864855952381e+14 5.9661077958362986e-02 5.4319534163212726e+00
1.9323357411904762e+14 5.9621052317283207e-02 5.4076036694370515e+00
1.9348849967857144e+14 6.3936286872852535e-02 5.4870713250949343e+00
1.9374342523809522e+14 6.4733610406917982e-02 5.6654117524242036e+00
1.9399835079761903e+14 5.8549659491823010e-02 5.8592036119231716e+00
1.9425327635714284e+14 4.7866559521082680e-02 5.9673643193345418e+00
1.9450820191666666e+14 3.9976083536599351e-02 5.9080049911301291e+00
1.9476312747619047e+14 4.0357024798854307e-02 5.8122798766055723e+00
1.9501805303571428e+14 4.3789201263276151e-02 5.8782139401140938e+00
1.9527297859523809e+14 4.2907875748511737e-02 6.0578085275319475e+00
1.9552790415476191e+14 3.5888158868887791e-02 6.2275537669037409e+00
1.9578282971428572e+14 2.6421391421633227e-02 6.2254349947407972e+00
1.9603775527380953e+14 2.2684461746807102e-02 5.9505609650654101e+00
1.9629268083333331e+14 2.6640816495479364e-02 5.8024989228663806e+00
